Year,Jurisdiction,Type,Stream,Fate,Tonnes
2006,ACT,Plasterboard & cement sheeting,C&I,Recycling,0.0
2006,ACT,Plasterboard & cement sheeting,MSW,Recycling,0.0
2006,ACT,Plating and heat treatment (A),C&D,Disposal,0.0
2006,ACT,Plating and heat treatment (A),C&D,Energy recovery,0.0
2006,ACT,Plating and heat treatment (A),C&D,Recycling,0.0
2006,ACT,Plating and heat treatment (A),C&I,Disposal,0.0
2006,ACT,Plating and heat treatment (A),C&I,Energy recovery,0.0
2006,ACT,Plating and heat treatment (A),C&I,Recycling,0.0
2006,ACT,Plating and heat treatment (A),Total,Disposal,0.0
2006,ACT,Plating and heat treatment (A),Total,Energy recovery,0.0
2006,ACT,Plating and heat treatment (A),Total,Recycling,0.0
2006,ACT,Polymer coated paperboard,C&D,Recycling,0.0
2006,ACT,Polymer coated paperboard,C&I,Recycling,0.0
2006,ACT,Polymer coated paperboard,MSW,Recycling,0.0
2006,ACT,Polymer coated paperboard,Total,Recycling,0.0
2006,ACT,Reactive chemicals (E),C&D,Disposal,0.0
2006,ACT,Reactive chemicals (E),C&D,Energy recovery,0.0
2006,ACT,Reactive chemicals (E),C&D,Recycling,0.0
2006,ACT,Reactive chemicals (E),C&I,Disposal,0.06329133095323086
2006,ACT,Reactive chemicals (E),C&I,Energy recovery,0.0
2006,ACT,Reactive chemicals (E),C&I,Recycling,0.004108203438842584
2006,ACT,Reactive chemicals (E),Total,Disposal,0.06329133095323086
2006,ACT,Reactive chemicals (E),Total,Energy recovery,0.0
2006,ACT,Reactive chemicals (E),Total,Recycling,0.004108203438842584
2006,ACT,Textiles,C&D,Recycling,0.0
2006,ACT,Textiles,C&I,Recycling,0.0
2006,ACT,Textiles,MSW,Recycling,0.0
2006,ACT,Textiles,Total,Recycling,3204.0
2006,ACT,Timber,C&D,Disposal,3477.0
2006,ACT,Timber,C&D,Energy recovery,365.0
2006,ACT,Timber,C&D,Recycling,0.0
2006,ACT,Timber,C&I,Disposal,5952.0
2006,ACT,Timber,C&I,Energy recovery,625.0
2006,ACT,Timber,C&I,Recycling,0.0
2006,ACT,Timber,MSW,Disposal,1473.0
2006,ACT,Timber,MSW,Energy recovery,155.0
2006,ACT,Timber,MSW,Recycling,0.0
2006,ACT,Timber,Total,Disposal,10902.0
2006,ACT,Timber,Total,Energy recovery,1144.0
2006,ACT,Timber,Total,Recycling,31036.0
2006,ACT,Tyres (T140),C&D,Disposal,0.0
2006,ACT,Tyres (T140),C&D,Energy recovery,0.0
2006,ACT,Tyres (T140),C&D,Recycling,0.0
2006,ACT,Tyres (T140),C&I,Disposal,2022.2715704032707
2006,ACT,Tyres (T140),C&I,Energy recovery,921.7070242091054
2006,ACT,Tyres (T140),C&I,Recycling,347.8322061344292
2006,ACT,Tyres (T140),Total,Disposal,2022.2715704032707
2006,ACT,Tyres (T140),Total,Energy recovery,921.7070242091054
2006,ACT,Tyres (T140),Total,Recycling,347.8322061344292
2006,ACT,Unclassified materials,C&D,Recycling,0.0
2006,ACT,Unclassified materials,C&I,Recycling,0.0
2006,ACT,Unclassified materials,MSW,Recycling,0.0
2006,ACT,Unclassified materials,Total,Recycling,604.0
2006,NSW,Acids (B),C&D,Disposal,0.0
2006,NSW,Acids (B),C&D,Energy recovery,0.0
2006,NSW,Acids (B),C&D,Recycling,0.0
2006,NSW,Acids (B),C&I,Disposal,6198.478302836513
2006,NSW,Acids (B),C&I,Energy recovery,0.0
2006,NSW,Acids (B),C&I,Recycling,9297.905301936216
2006,NSW,Acids (B),Total,Disposal,6198.478302836513
2006,NSW,Acids (B),Total,Energy recovery,0.0
2006,NSW,Acids (B),Total,Recycling,9297.905301936216
2006,NSW,Alkalis (C),C&D,Disposal,0.0
2006,NSW,Alkalis (C),C&D,Energy recovery,0.0
2006,NSW,Alkalis (C),C&D,Recycling,0.0
2006,NSW,Alkalis (C),C&I,Disposal,8705.595560969552
2006,NSW,Alkalis (C),C&I,Energy recovery,0.0
2006,NSW,Alkalis (C),C&I,Recycling,8882.979515394089
2006,NSW,Alkalis (C),Total,Disposal,8705.595560969552
2006,NSW,Alkalis (C),Total,Energy recovery,0.0
2006,NSW,Alkalis (C),Total,Recycling,8882.979515394089
2006,NSW,Asbestos (N220),C&D,Disposal,112420.97349821002
2006,NSW,Asbestos (N220),C&D,Energy recovery,0.0
